Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,6,4.072,1.713,1.713,12,1,704,64,5.785,N/A,N/A,15.3,75876126.220826,10225476,1934340,8291136,13.2,0.102,1.57e-05,13.3,0.897,1.32,1.16e-05,2.22,10226411,10268596,1942559,1984744,10225476,75876126.220826,0,0,0,2880
10,0,6,3.924,1.869,1.869,6,1,256,64,5.793,N/A,N/A,3.11,12196632.537591,1700430,303618,1396812,2.27,0.0788,2.49e-06,2.35,0.348,0.424,2.31e-06,0.772,1700885,1722034,307697,328846,1700430,12196632.537591,0,0,0,791
11,0,6,3.763,2.038,2.038,3,4,928,16,5.801,N/A,N/A,2.2,8738742.396796,1230232,214848,1015384,1.55,0.0318,1.76e-06,1.58,0.262,0.363,1.67e-06,0.624,1232181,1245566,218028,231413,1230232,8738742.396796,0,0,0,364
12,0,6,4.117,1.667,1.667,2,1,480,32,5.784,N/A,N/A,0.523,2303839.564799,322650,57062,265588,0.414,0.0104,4.68e-07,0.425,0.0428,0.0557,4.49e-07,0.0986,322897,326868,57863,61834,322650,2303839.564799,0,0,0,192
13,0,6,3.892,1.903,1.903,1,8,224,64,5.795,N/A,N/A,2.61,8831334.950395,1243665,211800,1031865,1.64,0.0766,1.75e-06,1.71,0.41,0.493,2.04e-06,0.903,1244728,1271793,217199,244264,1243665,8831334.950395,0,0,0,558
14,0,6,3.813,1.986,1.986,1,9,864,64,5.799,N/A,N/A,2.99,10311174.233595,1452769,248067,1204702,1.91,0.0855,2.05e-06,1.99,0.453,0.55,2.37e-06,1.0,1453976,1484405,254162,284591,1452769,10311174.233595,0,0,0,641
15,0,6,3.733,2.071,2.071,4,2,32,16,5.804,N/A,N/A,0.89,2740938.7776,395158,62336,332822,0.49,0.0241,5.23e-07,0.514,0.163,0.213,6.53e-07,0.376,396416,405463,64416,73463,395158,2740938.7776,0,0,0,165
15,1,6,3.81,1.99,1.99,9,4,544,16,5.8,N/A,N/A,8.16,37898363.785575,5298844,948672,4350172,6.61,0.0873,7.77e-06,6.7,0.608,0.901,6.45e-06,1.51,5304747,5344628,958296,998177,5298844,37898363.785575,0,0,0,1217
16,0,6,4.198,1.581,1.581,4,3,672,32,5.779,N/A,N/A,3.14,13379993.724793,1877003,330084,1546919,2.4,0.0628,2.71e-06,2.46,0.295,0.399,2.61e-06,0.695,1878904,1901237,335048,357381,1877003,13379993.724793,0,0,0,734
17,0,6,4.042,1.745,1.745,3,1,704,16,5.787,N/A,N/A,1.02,4840053.244799,659292,121680,537612,0.846,0.00691,9.88e-07,0.852,0.0659,0.0979,7.88e-07,0.164,659735,663295,122474,126034,659292,4840053.244799,0,0,0,282
18,0,6,3.847,1.95,1.95,8,2,608,32,5.797,N/A,N/A,6.83,32763800.582399,4539130,833328,3705802,5.78,0.0689,6.8e-06,5.85,0.401,0.615,5.49e-06,1.02,4541544,4571615,839944,870015,4539130,32763800.582399,0,0,0,1184
19,0,6,3.817,1.982,1.982,5,2,864,64,5.799,N/A,N/A,5.65,24103797.45279,3345462,605870,2739592,4.32,0.089,4.95e-06,4.41,0.55,0.722,4.53e-06,1.27,3346817,3380716,612952,646851,3345462,24103797.45279,0,0,0,1067
19,1,6,3.539,2.275,2.275,2,4,160,32,5.814,N/A,N/A,1.32,4867683.494399,690166,115608,574558,0.882,0.0365,9.61e-07,0.919,0.178,0.227,1.13e-06,0.405,691424,706327,118864,133767,690166,4867683.494399,0,0,0,291
2,0,6,3.979,1.811,1.811,16,1,320,64,5.79,N/A,N/A,14.2,67555811.379173,9320176,1727152,7593024,12.0,0.145,1.41e-05,12.1,0.903,1.31,1.08e-05,2.22,9321431,9377612,1738103,1794284,9320176,67555811.379173,0,0,0,2477
2,1,6,4.207,1.571,1.571,5,6,864,32,5.778,N/A,N/A,7.15,29975368.755188,4195021,740730,3454291,5.41,0.157,6.11e-06,5.57,0.715,0.933,5.73e-06,1.65,4200088,4255043,753288,808243,4195021,29975368.755188,0,0,0,1583
20,0,6,3.886,1.909,1.909,3,1,256,128,5.795,N/A,N/A,2.1,7882214.668797,1110126,191670,918456,1.45,0.0509,1.58e-06,1.5,0.271,0.33,1.7e-06,0.601,1110037,1130159,195355,215477,1110126,7882214.668797,0,0,0,583
21,0,6,3.921,1.872,1.872,8,2,864,32,5.793,N/A,N/A,8.67,42775042.156826,5911642,1095472,4816170,7.53,0.0679,8.94e-06,7.6,0.427,0.692,6.85e-06,1.12,5914056,5944127,1102088,1132159,5911642,42775042.156826,0,0,0,1489
22,0,6,3.796,2.004,2.004,3,1,448,128,5.8,N/A,N/A,2.27,8888614.886396,1244403,219318,1025085,1.63,0.0523,1.8e-06,1.68,0.265,0.324,1.81e-06,0.589,1244314,1264439,223006,243131,1244403,8888614.886396,0,0,0,683
23,0,6,3.82,1.979,1.979,8,3,480,32,5.7989999999999995,N/A,N/A,7.11,32214618.87358,4476211,807624,3668587,5.69,0.098,6.62e-06,5.79,0.567,0.798,5.9e-06,1.37,4480072,4524545,817632,862105,4476211,32214618.87358,0,0,0,1252
23,1,6,4.07,1.716,1.716,5,2,352,128,5.7860000000000005,N/A,N/A,6.12,26812451.516788,3724157,656820,3067337,4.82,0.138,5.42e-06,4.96,0.544,0.656,5.45e-06,1.2,3725224,3789239,669824,733839,3724157,26812451.516788,0,0,0,1510
24,0,6,3.656,2.151,2.151,4,20,160,16,5.807,N/A,N/A,7.53,25560364.415998,3727224,582400,3144824,4.54,0.225,4.92e-06,4.76,1.23,1.59,5.96e-06,2.82,3740632,3827755,603336,690459,3727224,25560364.415998,0,0,0,1514
25,0,6,4.0,1.79,1.79,3,4,544,32,5.79,N/A,N/A,2.5,9725333.615999,1371895,236388,1135507,1.78,0.0663,1.95e-06,1.84,0.291,0.37,2.07e-06,0.661,1373828,1396065,241340,263577,1371895,9725333.615999,0,0,0,588
25,1,6,4.234,1.543,1.543,1,1,960,32,5.777,N/A,N/A,0.259,1153515.062399,161628,28531,133097,0.206,0.00483,2.34e-07,0.211,0.0206,0.0275,2.26e-07,0.0482,161755,163783,28934,30962,161628,1153515.062399,0,0,0,138
25,2,6,3.79,2.011,2.011,3,2,64,32,5.801,N/A,N/A,1.03,3716127.811199,525869,88242,437627,0.68,0.0307,7.34e-07,0.711,0.141,0.175,8.57e-07,0.316,526758,538099,90678,102019,525869,3716127.811199,0,0,0,232
26,0,6,3.877,1.918,1.918,4,4,640,16,5.795,N/A,N/A,2.82,11129175.011196,1572116,272128,1299988,1.97,0.0443,2.23e-06,2.02,0.337,0.469,2.15e-06,0.806,1574724,1592519,276376,294171,1572116,11129175.011196,0,0,0,461
27,0,6,3.81,1.99,1.99,4,8,384,16,5.8,N/A,N/A,3.68,13489089.606399,1937392,314880,1622512,2.39,0.0963,2.63e-06,2.49,0.524,0.669,3.07e-06,1.19,1942700,1977863,323336,358499,1937392,13489089.606399,0,0,0,778
28,0,6,3.916,1.878,1.878,4,4,512,16,5.794,N/A,N/A,2.67,9832811.695998,1394964,239360,1155604,1.79,0.0592,1.97e-06,1.85,0.352,0.47,1.91e-06,0.822,1397572,1415351,243592,261371,1394964,9832811.695998,0,0,0,578
28,1,6,3.897,1.898,1.898,12,2,992,32,5.795,N/A,N/A,20.5,103519761.158317,14252966,2601672,11651294,17.9,0.105,2.06e-05,18.0,1.12,1.68,1.66e-05,2.81,14256600,14301655,2611632,2656687,14252966,103519761.158317,0,0,0,3567
