Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,sram width,sram depth,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
3,1.078,1.865,1.865,32,256,2.943,40,0.5,True,0.000517,1158.6112,135,32,103,0.000463,0.0,2.66e-10,0.000463,2.57e-05,2.8e-05,3.03e-10,5.37e-05,172,272,73,173,135,1158.6112,0,0,0,3
3,1.575,1.342,1.342,64,768,2.917,40,0.5,True,0.00119,5097.3888,817,64,753,0.000939,0.0,5.29e-10,0.000939,0.00011,0.000146,2.05e-09,0.000256,1132,1330,398,596,817,5097.3888,0,0,0,6
3,1.668,1.244,1.244,64,1024,2.912,40,0.5,True,0.00131,6198.4448,1093,64,1029,0.000957,0.0,5.32e-10,0.000957,0.000131,0.000226,2.71e-09,0.000357,1532,1730,528,726,1093,6198.4448,0,0,0,6
3,1.681,1.231,1.231,64,1536,2.912,40,0.5,True,0.00143,8794.6848,1582,64,1518,0.000952,0.0,5.29e-10,0.000952,0.000155,0.000324,3.86e-09,0.000479,2269,2468,788,987,1582,8794.6848,0,0,0,8
3,1.578,1.339,1.339,64,2048,2.917,40,0.5,True,0.00168,10648.9632,1678,64,1614,0.000973,0.0,5.32e-10,0.000973,0.000234,0.000472,2.84e-09,0.000707,2613,2812,1048,1247,1678,10648.9632,0,0,0,7
3,1.171,1.767,1.767,128,256,2.9379999999999997,40,0.5,True,0.00205,4516.832,536,128,408,0.00185,0.0,1.07e-09,0.00185,8.65e-05,0.000112,1.15e-09,0.000198,663,1051,265,653,536,4516.832,0,0,0,5
3,1.376,1.552,1.552,128,512,2.928,40,0.5,True,0.00228,6794.016,831,128,703,0.00188,0.0,1.06e-09,0.00188,0.000155,0.000246,1.18e-09,0.000401,1206,1595,524,913,831,6794.016,0,0,0,5
3,1.569,1.349,1.349,128,768,2.918,40,0.5,True,0.00233,9686.7904,1616,128,1488,0.00188,0.0,1.06e-09,0.00188,0.000196,0.000262,3.99e-09,0.000457,2239,2629,782,1172,1616,9686.7904,0,0,0,7
3,1.598,1.317,1.317,128,1024,2.915,40,0.5,True,0.00263,12320.5664,2166,128,2038,0.00191,0.0,1.06e-09,0.00191,0.000267,0.000447,5.38e-09,0.000714,3037,3427,1040,1430,2166,12320.5664,0,0,0,8
3,1.693,1.218,1.218,128,1536,2.911,40,0.5,True,0.00285,17434.2208,3130,128,3002,0.0019,0.0,1.06e-09,0.0019,0.000309,0.000641,7.67e-09,0.000949,4497,4888,1556,1947,3130,17434.2208,0,0,0,10
